metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
(12 or 13)-methylmyristate (a15:0 or i15:0),-0.00778767466545105,0.17413023114204407,,76.0,0.05881905453642532,0.9423400569916458,False
2-docosahexaenoyl-GPC (22:6)*,-0.17088207602500916,0.15170904994010925,,76.0,0.05881905453642532,0.9423400569916458,False
4-oxo-retinoic acid,-0.10924120247364044,0.21906894445419312,,76.0,0.05881905453642532,0.9423400569916458,False
3-hydroxyisobutyrate,-0.11040087044239044,0.11045150458812714,,76.0,0.05881905453642532,0.9423400569916458,False
1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,0.16914068162441254,-0.352547287940979,,184.0,0.05881905453642532,0.9423400569916458,False
glucuronide of C14H26O4 (1)*,-0.6102296113967896,0.41270631551742554,,77.0,0.060898489824590375,0.9423400569916458,False
1-stearoyl-GPG (18:0),-0.013698788359761238,0.2231924831867218,,77.0,0.06370700240799199,0.9423400569916458,False
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,-0.08526142686605453,0.17242497205734253,,77.0,0.06370700240799199,0.9423400569916458,False
1-docosahexaenoyl-GPC (22:6)*,-0.15748804807662964,0.08966641128063202,,77.0,0.06370700240799199,0.9423400569916458,False
N-lactoyl tyrosine,-0.5507170557975769,0.2187131643295288,,78.0,0.06792613661815795,0.9423400569916458,False
2-arachidonoyl-GPE (20:4)*,-0.020337754860520363,0.18617531657218933,,78.0,0.06874714996705822,0.9423400569916458,False
2-oxoarginine*,-0.22055727243423462,0.27506282925605774,,78.0,0.06885429589576944,0.9423400569916458,False
sphingomyelin (d18:2/24:2)*,0.08753542602062225,-0.1866554170846939,,182.0,0.06892573365359823,0.9423400569916458,False
1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,-0.08924466371536255,0.13365891575813293,,78.0,0.06892573365359823,0.9423400569916458,False
N-lactoyl valine,-0.13897466659545898,0.31096410751342773,,78.0,0.06892573365359823,0.9423400569916458,False
arachidate (20:0),-0.09741094708442688,0.1280118077993393,,78.0,0.06892573365359823,0.9423400569916458,False
glucuronide of C12H22O4 (1)*,-0.18922561407089233,0.612166166305542,,78.5,0.07164570114264003,0.9423400569916458,False
1-eicosapentaenoylglycerol (20:5)*,-0.7116456627845764,-0.39695799350738525,0.842172736334861,88.0,0.07235641552932029,0.9423400569916458,False
2-methylserine,-0.33227676153182983,0.3232628107070923,,79.0,0.07344587684846815,0.9423400569916458,False
3-hydroxystearate,-0.1395847201347351,0.01742023602128029,,79.0,0.07449068812278627,0.9423400569916458,False
1-oleoyl-2-docosapentaenoyl-GPC (18:1/22:5n3)*,0.0843321904540062,-0.31346428394317627,,181.0,0.07449068812278627,0.9423400569916458,False
tetradecanedioate (C14-DC),-0.05332116782665253,0.2900467813014984,,79.0,0.07449068812278627,0.9423400569916458,False
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),-0.06856094300746918,0.39939552545547485,,79.0,0.07449068812278627,0.9423400569916458,False
citrulline,-0.017029190436005592,0.18933263421058655,,79.0,0.07449068812278627,0.9423400569916458,False
tigloylglycine,-0.15028348565101624,0.38752633333206177,,80.0,0.08002802362307596,0.9423400569916458,False
gamma-glutamylisoleucine*,-0.05175236985087395,0.24141079187393188,,80.0,0.08022272713394377,0.9423400569916458,False
1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,0.14531108736991882,-0.1889246106147766,,180.0,0.08041743822049663,0.9423400569916458,False
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,-0.08337284624576569,0.06988805532455444,,80.0,0.08041743822049663,0.9423400569916458,False
alpha-ketoglutaramate*,-0.07107856869697571,0.13219958543777466,,80.0,0.08041743822049663,0.9423400569916458,False
dodecenedioate (C12:1-DC)*,-0.12378719449043274,0.48358333110809326,,80.0,0.08041743822049663,0.9423400569916458,False
hypoxanthine,0.0008790493011474609,-0.19754886627197266,,180.0,0.08041743822049663,0.9423400569916458,False
1-eicosenoyl-GPE (20:1)*,-0.18898139894008636,0.33075058460235596,,81.0,0.08631600921423674,0.9423400569916458,False
hexadecenedioate (C16:1-DC)*,-0.0490541085600853,0.42192643880844116,,81.0,0.08672163749228091,0.9423400569916458,False
aconitate [cis or trans],-0.10167238116264343,0.12246339023113251,,81.0,0.08672163749228091,0.9423400569916458,False
eicosapentaenoate (EPA; 20:5n3),-0.11496845632791519,0.23233410716056824,,81.0,0.08672163749228091,0.9423400569916458,False
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.13699421286582947,-0.1439456343650818,,179.0,0.08672163749228091,0.9423400569916458,False
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,0.02931678295135498,-0.18325352668762207,,179.0,0.08672163749228091,0.9423400569916458,False
3beta-hydroxy-5-cholenoate,0.05644477903842926,-0.3305715322494507,,178.5,0.08999949618942653,0.9423400569916458,False
alpha-ketobutyrate,-0.7919968962669373,0.5974396467208862,,82.0,0.0926807336494259,0.9423400569916458,False
octadecenedioylcarnitine (C18:1-DC)*,-0.4508191645145416,0.20207780599594116,,82.0,0.09339787730068813,0.9423400569916458,False
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.03435327112674713,-0.07536263018846512,,178.0,0.09339787730068813,0.9423400569916458,False
galactonate,-0.00020289793610572815,0.32050764560699463,,82.0,0.09341896545086567,0.9423400569916458,False
2-hydroxyoctanoate,-0.11241932958364487,0.12295332551002502,,82.0,0.09341896545086567,0.9423400569916458,False
"fibrinopeptide A, phosphono-ser(3)*",-0.5342926979064941,0.13186617195606232,,83.5,0.09784215914290925,0.9423400569916458,False
alpha-CMBHC glucuronide,-0.4921548366546631,0.2019386887550354,,83.0,0.09789525457453321,0.9423400569916458,False
5-hydroxyindoleacetate,-0.39392057061195374,-0.2762128412723541,0.5121243641372847,92.5,0.09794735571532379,0.9423400569916458,False
pyruvate,-0.23448659479618073,0.2647196650505066,,83.0,0.10052506875695402,0.9423400569916458,False
8-methoxykynurenate,-0.7919776439666748,0.009879290126264095,,84.0,0.10154430641304482,0.9423400569916458,False
lithocholic acid sulfate (2),-1.0909159183502197,-0.4658963978290558,1.22745883020458,89.0,0.10354492647503748,0.9423400569916458,False
1-palmitoyl-GPA (16:0),-1.1126445531845093,-0.033748809248209,5.043012374275351,86.0,0.1043762193334225,0.9423400569916458,False
pyridoxal,-0.06073281168937683,0.15579728782176971,,84.0,0.10796475472606623,0.9423400569916458,False
cerotoylcarnitine (C26)*,-0.19940851628780365,0.20982109010219574,,84.0,0.10805549890244624,0.9423400569916458,False
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.10497678071260452,-0.11349213123321533,,176.0,0.10805549890244624,0.9423400569916458,False
2-methylcitrate/homocitrate,-0.02262238599359989,0.10673938691616058,,84.0,0.10805549890244624,0.9423400569916458,False
glycerate,-0.037589918822050095,0.29596203565597534,,84.0,0.10805549890244624,0.9423400569916458,False
hydantoin-5-propionate,-0.05554818734526634,0.35729920864105225,,84.0,0.10805549890244624,0.9423400569916458,False
imidazole propionate,-0.17353779077529907,-1.53853178024292,-3.1482324720746284,175.0,0.10928272624589802,0.9423400569916458,False
