metabolite,p_value,q_value,log2_fc,median_high,median_low
androsterone glucuronide,0.1475738516833242,0.9423400569916458,-3.3137838390563426,-0.0234261900186538,-0.2329431772232055
4-hydroxyglutamate,0.1506237855338726,0.9423400569916458,,-1.1048550605773926,0.0359132140874862
taurocholate,0.1511205685968892,0.9423400569916458,,-0.4513617157936096,0.8719558715820312
lithocholate,0.1520732894078215,0.9423400569916458,,-0.3940726518630981,0.2956173717975616
behenoylcarnitine (C22)*,0.1520732894078215,0.9423400569916458,,-0.2259996235370636,0.1708640456199646
N1-methyl-2-pyridone-5-carboxamide,0.1526016731261508,0.9423400569916458,,-0.0031659896485507,0.4153312444686889
caprate (10:0),0.1526016731261508,0.9423400569916458,,-3.661552909761667e-07,0.2018908262252807
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.1526016731261508,0.9423400569916458,,0.0216026566922664,-0.0828658640384674
picolinoylglycine,0.1526016731261508,0.9423400569916458,-6.5838574212627545,0.0011020634556189,0.1057170927524566
1-arachidonoyl-GPI (20:4)*,0.1526016731261508,0.9423400569916458,,-0.0252598971128463,0.1435984969139099
1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*,0.1526016731261508,0.9423400569916458,,0.0317609682679176,-0.0773201584815979
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),0.1526016731261508,0.9423400569916458,,0.0131532503291964,-0.0535879135131835
1-meadoyl-GPC (20:3n9)*,0.155174364587518,0.9423400569916458,,-0.4139021039009094,0.1201401352882385
O-acetylhomoserine,0.1577046445946462,0.9423400569916458,,-0.2476054430007934,0.2999744415283203
2-hydroxysebacate,0.159729264341022,0.9423400569916458,,-0.5710294246673584,0.0981085747480392
adrenoylcarnitine (C22:4)*,0.1614458564240309,0.9423400569916458,0.0,-0.6123289465904236,-0.6123289465904236
"androstenediol (3alpha, 17alpha) monosulfate (2)",0.1620421578718309,0.9423400569916458,-1.9358132487525592,-0.1303625404834747,-0.4987589120864868
1-myristoyl-GPC (14:0),0.1629906802005133,0.9423400569916458,,-0.0076264371164143,0.2125972509384155
1-palmitoyl-2-pentadecanoyl-GPC (16:0/15:0)*,0.1629906802005133,0.9423400569916458,,-0.0155180767178535,0.320677101612091
